Opponent,Match,Innings,Runs,Balls,Outs,SR,50,100,4s,6s,Dot %,Score,Next_Score,Stadium,Year,Is_Home_Match
Rajasthan Royals,ipl2020_33,2,43,32,1,134.4,0,0,1,2,25,61.44,30.59,"Dubai International Cricket Stadium, Dubai",2020,0
Kolkata Knight Riders,ipl2020_39,2,18,17,0,105.9,0,0,2,0,35.3,30.59,64.63,"Sheikh Zayed Stadium, Abu Dhabi",2020,0
Chennai Super Kings,ipl2020_44,1,50,43,1,116.3,1,0,1,1,16.3,64.63,15.43,"Dubai International Cricket Stadium, Dubai",2020,0
Mumbai Indians,ipl2020_48,1,9,14,1,64.3,0,0,0,0,50,15.43,17,"Sheikh Zayed Stadium, Abu Dhabi",2020,0
Sunrisers Hyderabad,ipl2020_52,1,7,7,1,100,0,0,0,0,28.6,17,45.08,"Sharjah Cricket Stadium, Sharjah",2020,0
Delhi Capitals,ipl2020_55,1,29,24,1,120.8,0,0,2,1,29.2,45.08,14.57,"Sheikh Zayed Stadium, Abu Dhabi",2020,0
Sunrisers Hyderabad,ipl2020_58,1,6,7,1,85.7,0,0,0,0,42.9,14.57,48.38,"Sheikh Zayed Stadium, Abu Dhabi",2020,0
Mumbai Indians,ipl2021_01,2,33,29,1,113.8,0,0,4,0,41.4,48.38,48.38,MA Chidambaram Stadium,2021,0
Sunrisers Hyderabad,ipl2021_06,1,33,29,1,113.8,0,0,4,0,31,48.38,14.33,MA Chidambaram Stadium,2021,0
Kolkata Knight Riders,ipl2021_10,1,5,6,1,83.3,0,0,1,0,66.7,14.33,99.32,MA Chidambaram Stadium,2021,0
Rajasthan Royals,ipl2021_16,2,72,47,0,153.2,1,0,6,3,21.3,99.32,20.43,Wankhede Stadium,2021,0
Chennai Super Kings,ipl2021_19,2,8,7,1,114.3,0,0,1,0,28.6,20.43,24.91,Wankhede Stadium,2021,0
Delhi Capitals,ipl2021_22,1,12,11,1,109.1,0,0,2,0,45.5,24.91,50.29,"Narendra Modi Stadium, Ahmedabad",2021,0
Kings 11 Punjab,ipl2021_26,2,35,34,1,102.9,0,0,3,1,41.2,50.29,18.5,"Narendra Modi Stadium, Ahmedabad",2021,0
Kolkata Knight Riders,ipl2021_31,1,5,4,1,125,0,0,1,0,50,18.5,73.93,"Sheikh Zayed Stadium, Abu Dhabi",2021,0
Chennai Super Kings,ipl2021_35,1,53,41,1,129.3,1,0,6,1,29.3,73.93,72.14,"Sharjah Cricket Stadium, Sharjah",2021,0
Mumbai Indians,ipl2021_39,1,51,42,1,121.4,1,0,3,3,42.9,72.14,41.5,"Sheikh Zayed Stadium, Abu Dhabi",2021,0
Rajasthan Royals,ipl2021_43,2,25,20,1,125,0,0,4,0,50,41.5,39.42,"Dubai International Cricket Stadium, Dubai",2021,0
Kings 11 Punjab,ipl2021_48,1,25,24,1,104.2,0,0,2,1,50,39.42,18.5,"Sharjah Cricket Stadium, Sharjah",2021,0
Sunrisers Hyderabad,ipl2021_52,1,5,4,1,125,0,0,1,0,50,18.5,9,"Sheikh Zayed Stadium, Abu Dhabi",2021,0
Delhi Capitals,ipl2021_56,2,4,8,1,50,0,0,0,0,62.5,9,55.82,"Dubai International Cricket Stadium, Dubai",2021,0
Kolkata Knight Riders,ipl2021_58,1,39,33,1,118.2,0,0,5,0,27.3,55.82,60.14,"Sharjah Cricket Stadium, Sharjah",2021,0
Kings 11 Punjab,ipl2022_03,1,41,29,0,141.4,0,0,1,2,17.2,60.14,31.14,"Dr DY Patil Sports Academy, Navi Mumbai",2022,0
